시도명,시군구명,대피소명,주소,수용가능인원수,면적(㎡),경도,위도,비고,내진적용여부,해변에서의거리(m),긴급대피장소,대피소분류명,해발높이
city_name,gun_name,shelter_name,address,accept_limit,size,longitude,latitude,note,earthquake_proof,beach_distance,emergency_shelter,classify_shelter_name,sea_height
부산,기장군,공수마을 야산(멍두산),부산광역시 기장군 기장읍 시랑리 산101-3번,400,,129.2081440,35.1833420,,,,,,
부산,기장군,동암마을 야산,부산광역시 기장군 기장읍 시랑리 산30-1 ,500,,129.2257620,35.1981440,,,,,,
부산,기장군,신암마을 야산,부산광역시 기장군 기장읍 연화리 208-3,300,,129.2247710,35.2187870,,,,,,
부산,기장군,서암마을 언덕,부산광역시 기장군 기장읍 연화리 392-19,500,,129.2212710,35.2144680,,,,,,
부산,기장군,죽성 국수당,부산광역시 기장군 기장읍 죽성리 257,500,,129.2446100,35.2410670,,,,,,
부산,기장군,월전마을 야산,부산광역시 기장군 기장읍 죽성리 296,500,,129.2434870,35.2397440,,,,,,
부산,기장군,부경대수산과학연구소,부산광역시 기장군 일광면 동백리 295,250,,129.2577590,35.2842490,,,,,,
부산,기장군,동백마을 뒷산,부산광역시 기장군 일광면 동백리 산43-10,400,,129.2534420,35.2868060,,,,,,
부산,기장군,문동리 야산,부산광역시 기장군 일광면 문동리 산25,500,,129.2607710,35.3109760,,,,,,
부산,기장군,한국유리,부산광역시 기장군 일광면 이천리 345-1,80,,129.2420690,35.2669870,,,,,,
부산,기장군,이동마을 야산,부산광역시 기장군 일광면 이천리 산 23-1,400,,129.2400000,35.2670000,,,,,,
부산,기장군,칠암초등학교,부산광역시 기장군 일광면 칠암리 134,300,,129.2554820,35.2985110,,,,,,
부산,기장군,학리마을 야산,부산광역시 기장군 일광면 학리 176,300,,129.2428120,35.2572810,,,,,,
부산,기장군,고리문화센터,부산광역시 기장군 장안읍 길천리 80,1500,,129.2877740,35.3286100,,,,,,
부산,기장군,월내복지회관,부산광역시 기장군 장안읍 월내리 14,200,,129.2799170,35.3272840,,,,,,
부산,기장군,월내 야산(삼박골),부산광역시 기장군 장안읍 월내리 218,500,,129.2759910,35.3303140,,,,,,
부산,기장군,문화예절학교,부산광역시 기장군 장안읍 월내리 579,900,,129.2688750,35.3259310,,,,,,
부산,기장군,임랑 야산(대덕사),부산광역시 기장군 장안읍 임랑리 97-10,350,,129.2600000,35.3180000,,,,,,
부산,사하구,몰운대 공터,부산광역시 사하구 다대1동 469-2,1000,,128.9694660,35.0449110,,,,,,
부산,사하구,낫개공터,부산광역시 사하구 다대2동 1-7,100,,128.9861610,35.0595330,,,,,,
부산,사하구,두송종합사회복지관 앞 주차장,부산광역시 사하구 다대2동 96-1,300,,128.9855030,35.0620460,,,,,,
부산,수영구,광안초등학교,부산광역시 수영구 광안동 광안로 21번가길 35,1500,,129.1167320,35.1572010,,,,,,
부산,수영구,한바다중학교,부산광역시 수영구 광안동 광안로 21번가길 57,1500,,129.1176120,35.1572940,,,,,,
부산,수영구,수영구청,부산광역시 수영구 남천동 남천동로 100,1000,,129.1123700,35.1453710,,,,,,
부산,수영구,코오롱하늘채@,부산광역시 수영구 남천동 남천동로 41,1000,,129.1118440,35.1433260,,,,,,
부산,수영구,진조말산,부산광역시 수영구 민락동 113,1000,,129.1301910,35.1574370,,,,,,
부산,수영구,백산,부산광역시 수영구 민락동 327-2,1000,,129.1255390,35.1622010,,,,,,
부산,서구,송림공원,부산광역시 서구 암남동 124-1,3000,,129.0228490,35.0768780,,,,,,
부산,서구,송도탑스빌 광장,부산광역시 서구 암남동 257-1,1000,,129.0188280,35.0779620,,,,,,
부산,서구,송도해수욕장 공영주차장,부산광역시 서구 암남동 579,1000,,129.0157000,35.0737750,,,,,,
부산,서구,송도공원(식당) 주차장,부산광역시 서구 암남동 618-8,1000,,129.0182110,35.0705170,,,,,,
부산,서구,암남공원,부산광역시 서구 암남동 산193,5000,,129.0160570,35.0604850,,,,,,
부산,해운대,죽도공원,부산광역시 해운대 송정동 산52-1,10000,,129.2057850,35.1797480,,,,,,
부산,해운대,해운대청소년 수련원,부산광역시 해운대 송정동 산86-25,20000,,129.1951340,35.1754860,,,,,,
부산,해운대,동백공원,부산광역시 해운대 우동 710-1,20000,,129.1525260,35.1522300,,,,,,
부산,해운대,달맞이 고개,부산광역시 해운대 중동 974-1,30000,,129.1718410,35.1606700,,,,,,
부산,남구,이기대 산책로 입구(공터),부산광역시 남구 용호동 5-21,200,,129.1199000,35.1316320,,,,,,
부산,남구,동생말 언덕(공터),부산광역시 남구 용호동 산5-4,300,,129.1181940,35.1262480,,,,,,
부산,강서구,대항마을회관,부산광역시 강서구 대항동 9-2,100,,128.8345460,35.0163990,,,,,,
부산,강서구,대항주차장,부산광역시 강서구 대항동 산13-26,1000,,128.8290000,35.0110000,,,,,,
부산,기장군,대변초등학교,부산광역시 기장군 기장읍 대변리 444,300,,129.2269450,35.2250550,,,,,,
부산,기장군,국립수산과학원,부산광역시 기장군 기장읍 시랑리 408-1,200,,129.2233130,35.1922120,,,,,,
울산,북구,알로하모텔,울산광역시 북구 정자동 435,300,,129.4456470,35.6212330,,,,,,
울산,울주군,국도 31호 소공원 맞은편 버스정류장(?,울산광역시 울주군 서생면 나사리 산15-6,200,,129.3434830,35.3566790,,,,,,
울산,울주군,대송학생야영장(운동장),울산광역시 울주군 서생면 대송리 195,100,,129.3575150,35.3593080,,,,,,
울산,울주군,송정회관(마당),울산광역시 울주군 서생면 대송리 334-1,50,,129.3536030,35.3666970,,,,,,
울산,울주군,평동어촌계(마당),울산광역시 울주군 서생면 대송리 67-2,120,,129.3532630,35.3562080,,,,,,
울산,울주군,평동회관(마당),울산광역시 울주군 서생면 대송리 77-2,50,,129.3534700,35.3566620,,,,,,
울산,울주군,성동초등학교,울산광역시 울주군 서생면 서생리 387,500,,129.3416130,35.3853020,,,,,,
울산,울주군,서생면사무소(주차장),울산광역시 울주군 서생면 신암리 245-2,250,,129.3261370,35.3498570,,,,,,
울산,울주군,소망교회(주차장),울산광역시 울주군 서생면 신암리 324,300,,129.3200330,35.3451550,,,,,,
울산,울주군,서생중학교(운동장),울산광역시 울주군 서생면 신암리 8-1,50,,129.3308270,35.3503140,,,,,,
울산,울주군,서생중학교(운동장),울산광역시 울주군 서생면 신암리 8-1,300,,129.3308270,35.3503140,,,,,,
울산,울주군,신암회관(마당),울산광역시 울주군 서생면 신암리 877,300,,129.3191690,35.3409330,,,,,,
울산,울주군,진하회관,울산광역시 울주군 서생면 진하리 255,100,,129.3425160,35.3865380,,,,,,
울산,울주군,야산,울산광역시 울주군 온산읍 강양리 161,150,,129.3452700,35.3936320,,,,,,
울산,울주군,만포횟집(마당),울산광역시 울주군 온산읍 강양리 92,50,,129.3472450,35.3914740,,,,,,
울산,남구,울산항만공사,울산광역시 남구 매암동 180,100,,129.3828380,35.5047250,,,,,,
울산,남구,고래문화마을,울산광역시 남구 야음장생포동 232,300,,129.3794960,35.5048600,,,,,,
울산,남구,태영인더스트리사택 도로변,울산광역시 남구 야음장생포동 267-7,200,,129.3744940,35.5053190,,,,,,
울산,남구,장생포초등학교,울산광역시 남구 야음장생포동 329,500,,129.3688680,35.5031840,,,,,,
울산,남구,장생포복지센터,울산광역시 남구 야음장생포동 41-4,100,,129.3776250,35.5029830,,,,,,
울산,남구,장생포항 야산,울산광역시 남구 야음장생포동 산102-1,200,,129.3712730,35.5025130,,,,,,
울산,동구,화암초등학교,울산광역시 동구 방어동 1150,800,,129.4157300,35.4840320,,,,,,
울산,동구,방어진초등학교,울산광역시 동구 방어동 146,800,,129.4246460,35.4873230,,,,,,
울산,동구,성끝마을 야산,울산광역시 동구 방어동 18-32,300,,129.4320840,35.4840880,,,,,,
울산,동구,고늘마을 공터,울산광역시 동구 일산동 305-4,300,,129.4352670,35.5015040,,,,,,
울산,동구,대왕암 앞 공영주차장,울산광역시 동구 일산동 901-8,300,,129.4348180,35.4907260,,,,,,
울산,동구,일산지공영주차장,울산광역시 동구 일산동 963,300,,129.4287440,35.4940600,,,,,,
울산,동구,주전 야산,울산광역시 동구 주전동 14,300,,129.4530560,35.5666740,,,,,,
울산,동구,주전초등학교,울산광역시 동구 주전동 277,500,,129.4569030,35.5577230,,,,,,
울산,북구,정자오피스텔,울산광역시 북구 구유동 232,300,,129.4570700,35.6114130,,,,,,
울산,북구,제전마을야산,울산광역시 북구 구유동 82-3,200,,129.4574830,35.6051520,,,,,,
울산,북구,복성마을야산,울산광역시 북구 구유동 산64,100,,129.4551030,35.6078490,,,,,,
울산,북구,우가경로당,울산광역시 북구 당사동 116-5,30,,129.4629080,35.5956770,,,,,,
울산,북구,강동축구장주차장,울산광역시 북구 당사동 214,300,,129.4564800,35.5876310,,,,,,
울산,북구,추억의학교,울산광역시 북구 당사동 465-2,200,,129.4546200,35.5816390,,,,,,
울산,북구,시코어호텔,울산광역시 북구 산하동 55-1,200,,129.4418600,35.6342950,,,,,,
울산,북구,신명동 야산도로,울산광역시 북구 신명동 134-2,100,,129.4392740,35.6443450,,,,,,
울산,북구,울산교육수련원,울산광역시 북구 신명동 153-5,200,,129.4395850,35.6412110,,,,,,
울산,북구,지경IC,울산광역시 북구 신명동 산1-2,100,,129.4478740,35.6508060,,,,,,
울산,북구,어물동야산,울산광역시 북구 어물동 어물동 산372,300,,129.4494710,35.5752460,,,,,,
울산,북구,강동중학교(구),울산광역시 북구 정자동 272,400,,129.4445710,35.6135740,,,,,,
울산,북구,벽산아진아파트,울산광역시 북구 정자동 3,500,,129.4477610,35.6199250,,,,,,
울산,북구,강동초등학교(구),울산광역시 북구 정자동 321,400,,129.4467930,35.6155110,,,,,,
강원도,양양군,물치리야산,강원도 양양군 강현면 물치리 17-26,300,,128.6077270,38.1581680,,,,,,
강원도,양양군,용호리야산,강원도 양양군 강현면 용호리 산1-3,300,,128.6203340,38.1343860,,,,,,
강원도,양양군,전진리야산,강원도 양양군 강현면 전진리 산8-2,500,,128.6294760,38.1226500,,,,,,
강원도,양양군,정암리야산,강원도 양양군 강현면 정암리 산2-3,200,,128.6134390,38.1386470,,,,,,
강원도,양양군,주청리야산,강원도 양양군 강현면 주청리 산6-1,500,,128.6267970,38.1149870,,,,,,
강원도,양양군,동호리야산,강원도 양양군 손양면 동호리 563-8,250,,128.6789830,38.0552490,,,,,,
강원도,양양군,동호리야산,강원도 양양군 손양면 동호리 산44,250,,128.6799580,38.0580240,,,,,,
